Periodos,delito,total,tipo
2010,robo.o.asalto.en.la.calle.o.transporte.público,7412.960196,robo
2010,extorsión,7238.574971,extorsion y fraude
2010,fraude,2658.374764,extorsion y fraude
2011,robo.o.asalto.en.la.calle.o.transporte.público,8570.12644,robo
2011,extorsión,5652.920203,extorsion y fraude
2011,fraude,2499.464214,extorsion y fraude
2012,robo.o.asalto.en.la.calle.o.transporte.público,10036.67603,robo
2012,extorsión,7584.783901,extorsion y fraude
2012,fraude,3318.607581,extorsion y fraude
2013,robo.o.asalto.en.la.calle.o.transporte.público,12294.19477,robo
2013,extorsión,9789.794939,extorsion y fraude
2013,fraude,3981.038493,extorsion y fraude
2014,robo.o.asalto.en.la.calle.o.transporte.público,11903.46619,robo
2014,extorsión,9849.553156,extorsion y fraude
2014,fraude,4254.878777,extorsion y fraude
2015,robo.o.asalto.en.la.calle.o.transporte.público,9994.86298,robo
2015,extorsión,8600.308817,extorsion y fraude
2015,fraude,3906.195119,extorsion y fraude
2016,robo.o.asalto.en.la.calle.o.transporte.público,9599.248182,robo
2016,extorsión,8944.593927,extorsion y fraude
2016,fraude,4656.343261,extorsion y fraude
2017,robo.o.asalto.en.la.calle.o.transporte.público,11080.66347,robo
2017,extorsión,7719.081035,extorsion y fraude
2017,fraude,5341.486047,extorsion y fraude
2018,robo.o.asalto.en.la.calle.o.transporte.público,10775.04611,robo
2018,extorsión,6542.041004,extorsion y fraude
2018,fraude,5397.284025,extorsion y fraude
2019,robo.o.asalto.en.la.calle.o.transporte.público,9091.491694,robo
2019,extorsión,5133.663142,extorsion y fraude
2019,fraude,5088.682612,extorsion y fraude
2020,robo.o.asalto.en.la.calle.o.transporte.público,6898.511174,robo
2020,extorsión,5160.375434,extorsion y fraude
2020,fraude,5903.871052,extorsion y fraude
2021,robo.o.asalto.en.la.calle.o.transporte.público,6581.794345,robo
2021,extorsión,5374.782648,extorsion y fraude
2021,fraude,5906.526665,extorsion y fraude
2022,robo.o.asalto.en.la.calle.o.transporte.público,5688.70442,robo
2022,extorsión,5055.584623,extorsion y fraude
2022,fraude,5769.596358,extorsion y fraude
