long,lat,group,order,region,subregion
-64.54916382,-54.71621323,17,1148,Argentina,Isla de los Estados
-64.43881989,-54.73935699,17,1149,Argentina,Isla de los Estados
-64.22050476,-54.72197342,17,1150,Argentina,Isla de los Estados
-64.10532379,-54.72167969,17,1151,Argentina,Isla de los Estados
-64.05493164,-54.72988129,17,1152,Argentina,Isla de los Estados
-64.03242493,-54.74238205,17,1153,Argentina,Isla de los Estados
-63.8819313,-54.72294998,17,1154,Argentina,Isla de los Estados
-63.81542587,-54.72509766,17,1155,Argentina,Isla de los Estados
-63.83257294,-54.76796722,17,1156,Argentina,Isla de los Estados
-63.97123718,-54.81064606,17,1157,Argentina,Isla de los Estados
-64.02832031,-54.79257584,17,1158,Argentina,Isla de los Estados
-64.32290649,-54.79648209,17,1159,Argentina,Isla de los Estados
-64.45326996,-54.84033203,17,1160,Argentina,Isla de los Estados
-64.50868988,-54.83993912,17,1161,Argentina,Isla de los Estados
-64.63735199,-54.9025383,17,1162,Argentina,Isla de los Estados
-64.73144531,-54.86298752,17,1163,Argentina,Isla de los Estados
-64.75732422,-54.82656479,17,1164,Argentina,Isla de los Estados
-64.68920898,-54.77470398,17,1165,Argentina,Isla de los Estados
-64.62509918,-54.77363205,17,1166,Argentina,Isla de los Estados
-64.5813446,-54.75273132,17,1167,Argentina,Isla de los Estados
-64.54916382,-54.71621323,17,1168,Argentina,Isla de los Estados
-68.65322113,-54.85361481,18,1170,Argentina,Tierra del Fuego
-68.64751434,-54.62783432,18,1171,Argentina,Tierra del Fuego
-68.6397934,-54.32402039,18,1172,Argentina,Tierra del Fuego
-68.63822937,-54.05292892,18,1173,Argentina,Tierra del Fuego
-68.63667297,-53.78886795,18,1174,Argentina,Tierra del Fuego
-68.63506317,-53.51543045,18,1175,Argentina,Tierra del Fuego
-68.63345337,-53.24189377,18,1176,Argentina,Tierra del Fuego
-68.63169098,-52.94951248,18,1177,Argentina,Tierra del Fuego
-68.62992859,-52.65263748,18,1178,Argentina,Tierra del Fuego
-68.57118988,-52.6949234,18,1179,Argentina,Tierra del Fuego
-68.33876801,-52.90009689,18,1180,Argentina,Tierra del Fuego
-68.27822876,-52.98398209,18,1181,Argentina,Tierra del Fuego
