Entidad,Poblacion,Superficie_km2
Aguascalientes,1434630,5618
Baja California,3769020,71450
Baja California Sur,798447,73909
Campeche,928363,57724
Chiapas,5543828,73689
Chihuahua,3801487,247455
Ciudad de México,9209944,1495
Coahuila,3146771,151563
Colima,731391,5626
Durango,1832650,123451
Guanajuato,6228170,30607
Guerrero,3533251,63794
Hidalgo,3082841,20822
Jalisco,8348131,78595
México,17427795,22351
Michoacán,4879919,58599
Morelos,1971520,4892
Nayarit,1285190,27815
Nuevo León,5611512,64220
Oaxaca,4132148,93757
Puebla,6583278,34290
Querétaro,2279632,11699
Quintana Roo,1871562,42361
San Luis Potosí,2822235,61138
Sinaloa,3036939,57377
Sonora,2954915,179503
Tabasco,2395272,24738
Tamaulipas,3650607,79631
Tlaxcala,1342977,4016
Veracruz,8059475,71856
Yucatán,2320894,39524
Zacatecas,1622138,75439
